Anchor,Negative,Positive
/content/Data/CorelDB/wl_deer/104089.jpg,/content/Data/CorelDB/obj_door/549093.jpg,/content/Data/CorelDB/wl_deer/104099.jpg
/content/Data/CorelDB/wl_deer/104089.jpg,/content/Data/CorelDB/wl_roho/112062.jpg,/content/Data/CorelDB/wl_deer/77010.jpg
/content/Data/CorelDB/wl_deer/77037.jpg,/content/Data/CorelDB/bld_castle/382027.jpg,/content/Data/CorelDB/wl_deer/77007.jpg
/content/Data/CorelDB/wl_deer/77037.jpg,/content/Data/CorelDB/wl_cougr/136047.jpg,/content/Data/CorelDB/wl_deer/104002.jpg
/content/Data/CorelDB/wl_deer/77074.jpg,/content/Data/CorelDB/obj_dish/433011.jpg,/content/Data/CorelDB/wl_deer/104072.jpg
/content/Data/CorelDB/wl_deer/77074.jpg,/content/Data/CorelDB/sc_firewrk/40043.jpg,/content/Data/CorelDB/wl_deer/104008.jpg
/content/Data/CorelDB/wl_deer/77005.jpg,/content/Data/CorelDB/art_dino/644015.jpg,/content/Data/CorelDB/wl_deer/77059.jpg
/content/Data/CorelDB/wl_deer/77005.jpg,/content/Data/CorelDB/sc_waves/312097.jpg,/content/Data/CorelDB/wl_deer/77045.jpg
/content/Data/CorelDB/wl_deer/77057.jpg,/content/Data/CorelDB/obj_bob/412091.jpg,/content/Data/CorelDB/wl_deer/77050.jpg
/content/Data/CorelDB/wl_deer/77057.jpg,/content/Data/CorelDB/obj_door/549012.jpg,/content/Data/CorelDB/wl_deer/77037.jpg
/content/Data/CorelDB/wl_deer/104003.jpg,/content/Data/CorelDB/eat_drinks/275063.jpg,/content/Data/CorelDB/wl_deer/104096.jpg
/content/Data/CorelDB/wl_deer/104003.jpg,/content/Data/CorelDB/pet_dog/247022.jpg,/content/Data/CorelDB/wl_deer/104067.jpg
/content/Data/CorelDB/wl_deer/77081.jpg,/content/Data/CorelDB/pet_cat/458072.jpg,/content/Data/CorelDB/wl_deer/104006.jpg
/content/Data/CorelDB/wl_deer/77081.jpg,/content/Data/CorelDB/wl_primates/49051.jpg,/content/Data/CorelDB/wl_deer/104059.jpg
/content/Data/CorelDB/wl_deer/104038.jpg,/content/Data/CorelDB/obj_flags/461056.jpg,/content/Data/CorelDB/wl_deer/77082.jpg
/content/Data/CorelDB/wl_deer/104038.jpg,/content/Data/CorelDB/obj_234000/234076.jpg,/content/Data/CorelDB/wl_deer/104007.jpg
/content/Data/CorelDB/wl_deer/77064.jpg,/content/Data/CorelDB/pet_dog/659066.jpg,/content/Data/CorelDB/wl_deer/104000.jpg
/content/Data/CorelDB/wl_deer/77064.jpg,/content/Data/CorelDB/wl_roho/112016.jpg,/content/Data/CorelDB/wl_deer/104090.jpg
/content/Data/CorelDB/wl_deer/77001.jpg,/content/Data/CorelDB/obj_orbits/617004.jpg,/content/Data/CorelDB/wl_deer/77094.jpg
/content/Data/CorelDB/wl_deer/77001.jpg,/content/Data/CorelDB/pl_flower/221019.jpg,/content/Data/CorelDB/wl_deer/77086.jpg
/content/Data/CorelDB/wl_deer/104072.jpg,/content/Data/CorelDB/wl_eagle/135021.jpg,/content/Data/CorelDB/wl_deer/77003.jpg
/content/Data/CorelDB/wl_deer/104072.jpg,/content/Data/CorelDB/wl_owls/75041.jpg,/content/Data/CorelDB/wl_deer/77096.jpg
/content/Data/CorelDB/wl_deer/104057.jpg,/content/Data/CorelDB/sc_autumn/150040.jpg,/content/Data/CorelDB/wl_deer/77025.jpg
/content/Data/CorelDB/wl_deer/104057.jpg,/content/Data/CorelDB/obj_mask/550097.jpg,/content/Data/CorelDB/wl_deer/77066.jpg
/content/Data/CorelDB/wl_deer/77035.jpg,/content/Data/CorelDB/sc_sunset/345028.jpg,/content/Data/CorelDB/wl_deer/104026.jpg
/content/Data/CorelDB/wl_deer/77035.jpg,/content/Data/CorelDB/obj_flags/461015.jpg,/content/Data/CorelDB/wl_deer/104045.jpg
/content/Data/CorelDB/wl_deer/77008.jpg,/content/Data/CorelDB/wl_lizard/175050.jpg,/content/Data/CorelDB/wl_deer/104031.jpg
/content/Data/CorelDB/wl_deer/77008.jpg,/content/Data/CorelDB/pl_mashroom/208038.jpg,/content/Data/CorelDB/wl_deer/77077.jpg
